"initial_word","front","back"
"banani","",""
"brauðið","",""
"fiskur","",""
"helgina","",""
"hundur","",""
"hádegismat","",""
"kaka","",""
"kvikmynd","",""
"laugardag","",""
"morgun","",""
"ostur","",""
"safi","",""
"smjöri","",""
"tölva","",""
